customer_id,name,city,age,spending,product,purchase_date
1,Anjali562,Kolkata,22,98177,Shoes,2024-04-09
2,Karan3504,Bangalore,59,21388,Shoes,2024-08-13
3,Vikram1297,Hyderabad,21,13268,Laptop,2024-01-10
4,Neha3405,Mumbai,40,55211,Headphones,2023-10-12
5,Amit1225,Chennai,36,45373,Laptop,2023-04-21
6,Sumit3542,Kolkata,57,78097,TV,2023-03-01
7,Amit569,Kolkata,31,80360,Mobile,2024-10-10
8,Arjun3226,Hyderabad,33,69910,Headphones,2023-03-02
9,Neha4831,Mumbai,27,68536,Laptop,2024-03-09
10,Neha473,Hyderabad,41,8925,Watch,2024-08-22
11,Karan4024,Hyderabad,45,6070,Headphones,2023-10-16
12,Amit906,Hyderabad,50,3535,Shoes,2023-05-17
13,Pooja2534,Kolkata,50,44581,Tablet,2024-05-14
14,Riya3770,Bangalore,21,72219,Shoes,2024-09-15
15,Neha735,Mumbai,26,56866,TV,2023-05-28
16,Anjali2580,Hyderabad,19,57653,Headphones,2024-04-19
17,Pooja4738,Mumbai,18,92938,Tablet,2023-06-24
18,Anjali1954,Bangalore,23,54747,Shoes,2023-05-17
19,Neha787,Kolkata,51,82826,Mobile,2024-03-18
20,Arjun750,Kolkata,34,53368,Watch,2024-11-12
21,Sumit1726,Kolkata,26,56301,TV,2023-10-04
22,Sumit2001,Bangalore,60,73367,Laptop,2024-08-04
23,Riya4395,Delhi,28,80713,Mobile,2023-04-15
24,Sumit632,Hyderabad,50,73214,TV,2023-10-02
25,Sumit1271,Bangalore,43,10222,Watch,2023-07-19
26,Riya809,Mumbai,53,63524,Laptop,2024-01-02
27,Vikram2228,Chennai,42,4154,Mobile,2024-08-01
28,Arjun3833,Bangalore,37,27897,TV,2024-05-01
29,Karan921,Pune,38,87487,Shoes,2024-08-17
30,Sumit3651,Delhi,22,18451,TV,2023-10-26
31,Sumit202,Chennai,29,34585,TV,2024-07-30
32,Neha2160,Hyderabad,35,38417,Tablet,2023-07-29
33,Anjali4630,Hyderabad,26,63255,Mobile,2024-02-10
34,Neha3086,Mumbai,36,73193,Mobile,2024-04-22
35,Karan4022,Chennai,57,5762,Watch,2024-04-03
36,Rahul1088,Delhi,42,38386,Watch,2023-07-18
37,Neha3562,Pune,18,85498,TV,2024-01-11
38,Amit2802,Delhi,60,91123,Laptop,2024-03-14
39,Arjun4203,Chennai,38,72519,Mobile,2024-09-09
40,Arjun1541,Kolkata,52,17670,Tablet,2023-12-23
41,Sumit3275,Pune,18,90746,Shoes,2023-10-13
42,Rahul130,Delhi,32,44666,Mobile,2023-12-14
43,Vikram4145,Delhi,51,26091,Watch,2024-10-07
44,Amit3441,Kolkata,47,64750,Laptop,2023-01-06
45,Riya2778,Pune,44,28949,Laptop,2024-02-21
46,Pooja667,Pune,42,78748,Watch,2024-02-26
47,Sumit4199,Chennai,32,38584,Shoes,2024-10-14
48,Neha4784,Bangalore,48,4649,TV,2024-03-19
49,Arjun2152,Bangalore,35,35611,Shoes,2024-08-25
50,Sumit1057,Delhi,25,32754,Mobile,2024-11-26
51,Sumit684,Bangalore,27,82537,Shoes,2024-07-17
52,Pooja3731,Mumbai,50,22934,Headphones,2023-02-11
53,Vikram195,Kolkata,48,43934,Watch,2024-06-15
54,Riya1034,Hyderabad,46,15117,Headphones,2024-11-02
55,Sumit3368,Bangalore,41,97645,Laptop,2024-03-18
56,Amit4859,Bangalore,38,98174,Shoes,2023-10-05
57,Vikram2008,Hyderabad,27,39235,Watch,2024-11-12
58,Sumit3845,Hyderabad,24,95942,Tablet,2023-10-30
59,Vikram2857,Bangalore,22,72537,Headphones,2024-09-17
60,Rahul3708,Pune,39,83765,Shoes,2024-11-22
61,Vikram3072,Chennai,22,12984,Laptop,2024-09-07
62,Vikram3751,Kolkata,40,55542,Tablet,2024-05-04
63,Sumit2192,Chennai,41,1239,Watch,2023-12-02
64,Amit4416,Delhi,41,55204,Mobile,2023-03-10
65,Riya4409,Kolkata,35,93898,Mobile,2023-01-02
66,Pooja342,Mumbai,27,16819,Mobile,2023-11-26
67,Anjali3820,Delhi,59,53931,Watch,2023-05-11
68,Arjun2010,Delhi,23,43440,Tablet,2023-05-23
69,Karan1489,Bangalore,51,16294,Laptop,2024-11-28
70,Amit2951,Mumbai,36,54430,Shoes,2023-06-04
71,Anjali1088,Pune,51,64409,Headphones,2023-02-09
72,Anjali3436,Hyderabad,41,69180,Laptop,2023-05-12
73,Riya1871,Pune,18,41402,TV,2024-10-10
74,Neha3898,Pune,43,48603,TV,2024-08-03
75,Karan931,Hyderabad,23,39354,Laptop,2024-09-23
76,Pooja1414,Delhi,56,95301,Headphones,2024-08-20
77,Riya1925,Pune,56,4123,Headphones,2024-01-27
78,Riya2660,Mumbai,35,8508,Shoes,2023-12-11
79,Rahul2921,Kolkata,58,18186,TV,2024-07-13
80,Vikram4852,Chennai,36,79405,Watch,2023-10-15
81,Rahul1229,Pune,52,92088,Laptop,2024-02-01
82,Riya2191,Chennai,60,30513,Laptop,2024-03-09
83,Amit899,Kolkata,37,80936,Watch,2024-04-28
84,Vikram3304,Delhi,52,71170,Headphones,2023-04-29
85,Pooja495,Bangalore,42,33206,Shoes,2024-06-17
86,Amit719,Pune,60,28578,Tablet,2024-01-12
87,Amit822,Bangalore,58,57538,Headphones,2023-12-06
88,Vikram4784,Delhi,43,49193,Watch,2024-09-04
89,Riya1544,Mumbai,60,52363,Headphones,2024-05-23
90,Riya1301,Bangalore,55,29599,TV,2023-07-27
91,Anjali507,Mumbai,25,55271,Headphones,2023-06-06
92,Pooja2079,Chennai,42,87749,Mobile,2024-06-01
93,Vikram4410,Bangalore,18,97034,TV,2023-10-27
94,Karan3091,Hyderabad,36,87369,Tablet,2024-05-06
95,Karan1507,Delhi,34,58394,Watch,2024-09-23
96,Sumit2524,Delhi,50,48762,Shoes,2024-04-03
97,Sumit3578,Delhi,54,77573,Watch,2024-08-01
98,Vikram3474,Bangalore,30,6952,Watch,2024-07-28
99,Vikram4979,Delhi,30,49176,Shoes,2023-10-19
100,Anjali3987,Kolkata,45,77869,Mobile,2023-12-25
101,Karan3475,Mumbai,58,47317,Headphones,2024-05-01
102,Karan768,Pune,41,6473,Headphones,2024-06-15
103,Sumit1760,Hyderabad,51,49088,Shoes,2023-08-01
104,Riya3306,Mumbai,58,86535,Laptop,2024-07-04
105,Anjali4872,Hyderabad,19,90430,Laptop,2023-11-21
106,Pooja2692,Kolkata,55,8665,Laptop,2023-03-13
107,Amit1652,Hyderabad,54,43686,Watch,2024-07-02
108,Neha2873,Hyderabad,55,29460,Mobile,2023-02-10
109,Neha2632,Delhi,41,51950,TV,2024-04-17
110,Arjun4807,Chennai,60,37498,TV,2024-04-18
111,Amit933,Bangalore,56,79459,Shoes,2023-12-11
112,Rahul3041,Bangalore,35,21706,Tablet,2023-11-14
113,Neha4493,Delhi,29,27279,Laptop,2023-08-03
114,Amit4754,Bangalore,48,19510,Headphones,2023-07-16
115,Pooja637,Kolkata,56,4546,TV,2024-08-09
116,Sumit1402,Hyderabad,55,65816,Headphones,2023-10-12
117,Pooja866,Mumbai,30,38376,Mobile,2023-04-30
118,Sumit4618,Chennai,22,2600,Mobile,2023-12-11
119,Pooja2877,Delhi,59,19428,Mobile,2024-04-06
120,Anjali1715,Chennai,20,36275,Headphones,2023-05-28
121,Vikram1227,Delhi,30,20540,Headphones,2024-11-16
122,Anjali4637,Mumbai,36,67887,Headphones,2023-09-14
123,Karan2330,Chennai,60,88251,Laptop,2023-08-08
